##############################
##     Pa11y CI results     ##
##############################

##     Running Pa11y CI:
##         DATETIME: 2026-02-09T16_48_03
##         SITEMAP:  https://news.kcc.edu/pa11y-ci-sitemap.xml


Running Pa11y on 176 URLs:
 > https://news.kcc.edu/2025/04/14/new-daily-soup-options-in-cafeteria.html - 0 errors
 > https://news.kcc.edu/2025/04/11/med-lab-professionals-week-april-20-26.html - 0 errors
 > https://news.kcc.edu/2025/04/08/annual-event-honors-rittmanic-bailey.html - 0 errors
 > https://news.kcc.edu/2025/04/08/meet-with-local-employers.html - 0 errors
 > https://news.kcc.edu/2025/04/03/tornado-warnings-emergency-notifications.html - 0 errors
 > https://news.kcc.edu/2025/03/27/kcc-s-library-director-contributes-to-academic-book.html - 0 errors
 > https://news.kcc.edu/2025/03/26/free-tuition-and-fees-for-high-demand-career-programs.html - 0 errors
 > https://news.kcc.edu/2025/03/25/anniversary-celebration-april-11.html - 0 errors
 > https://news.kcc.edu/2025/03/24/dog-training-collaboration-involves-kcc-students.html - 0 errors
 > https://news.kcc.edu/2025/03/19/free-movie-at-kcc.html - 0 errors
 > https://news.kcc.edu/2025/03/12/2025-high-school-art-show-on-display.html - 0 errors
 > https://news.kcc.edu/2025/03/05/21-up-21-down-for-niksch.html - 0 errors
 > https://news.kcc.edu/2025/03/03/find-the-class-schedule.html - 0 errors
 > https://news.kcc.edu/2025/02/27/february-is-financial-aid-awareness-month.html - 0 errors
 > https://news.kcc.edu/2025/02/26/local-employers-invited-to-participate.html - 0 errors
 > https://news.kcc.edu/2025/02/24/free-scrubs-for-students-healthcare-workers.html - 0 errors
 > https://news.kcc.edu/2025/02/20/isac-fafsa-event-feb-27.html - 0 errors
 > https://news.kcc.edu/2025/02/19/student-trustee-application-available.html - 0 errors
 > https://news.kcc.edu/2025/02/11/asst-professor-receives-ihbe-grant.html - 0 errors
 > https://news.kcc.edu/2025/01/31/continuing-ed-offering-discounted-non-credit-classes.html - 0 errors
 > https://news.kcc.edu/2025/01/22/calvin-edwards-gets-sergeant-s-stripes.html - 0 errors
 > https://news.kcc.edu/2025/01/22/ev-charger-maintenance.html - 0 errors
 > https://news.kcc.edu/2025/01/17/local-scholarship-opportunity.html - 0 errors
 > https://news.kcc.edu/2024/12/19/fall-2024-daisy-award.html - 0 errors
 > https://news.kcc.edu/2024/12/19/fall-2024-president-s-list-announced.html - 0 errors
 > https://news.kcc.edu/2024/12/19/fall-2024-honors-list-announced.html - 0 errors
 > https://news.kcc.edu/2024/12/12/renovation-information.html - 0 errors
 > https://news.kcc.edu/2024/12/11/kcc-receives-job-training-economic-development-grant.html - 0 errors
